កករចិត្ត	កករ-ចិត្ត
កកស្ទះ	កក-ស្ទះ
កកិចកកុច	កកិច-កកុច
កកូរកកាយ	កកូរ-កកាយ
កកែកកកោក	ក-កែក-កកោក
កកែកករ	កកែ-កករ
កកែងកកោង	ក-កែង-ក-កោង
កក់ក្ដៅ	កក់-ក្ដៅ
កក្កដា	ក-ក្ក-ដា
កក្រិត	ក-ក្រិត
កក្រើក	ក-ក្រើក
កក្រើកញាប់ញ័រ	កក្រើក-ញាប់ញ័រ
កក្រើករំជួល	កក្រើក-រំជួល
កក្រើករំពើក	កក្រើក-រំពើក
កក្រោះ	ក-ក្រោះ
កក្លាក់	ក-ក្លាក់
កក្អាក	ក-ក្អាក
កក្អាកកក្អាយ	កក្អាក-កក្អាយ
កក្អិល	ក-ក្អិល
កក្អឹក	ក-ក្អឹក
កក្អៀក	ក-ក្អៀក
កខិកកខក់	កខិក-កខក់
កខិបកខុប	កខិប-កខុប
កខ្វក់	ក-ខ្វក់
កខ្វេសកខ្វាស	កខ្វេស-កខ្វាស
កងកម្លាំង	កង-កម្លាំង
កងកម្លាំងប្រដាប់អាវុធ	កង-កម្លាំងប្រដាប់អាវុធ
កងកាំភ្លើងធំ	កង-កាំភ្លើងធំ
កងក្រវែល	កង-ក្រវែល
កងគ្រាប់	កង-គ្រាប់
កងចល័ត	កង-ចល័ត
កងឈ្លប	កង-ឈ្លប
កងទងឈូក	កង-ទង-ឈូក
កងទ័ពជើងគោក	កងទ័ព-ជើងគោក
កងទ័ពជើងទឹក	កងទ័ព-ជើងទឹក
កងទ័ពអាកាស	កងទ័ព-អាកាស
កងទ្រនាប់	កង-ទ្រនាប់
កងនាវា	កង-នាវា
កងពលតូច	កងពល-តូច
កងពលធំ	កងពល-ធំ
កងព័ន្ធ	កង-ព័ន្ធ
កងយោធពលខេមរភូមិន្ទ	កងយោធពល-ខេមរភូមិន្ទ
កងរាក់	កង-រាក់
កងរាជអាវុធហត្ថ	កង-រាជ-អាវុធហត្ថ
កងវរសេនាតូច	កង-វរ-សេនា-តូច
កងវរសេនាធំ	កង-វរ-សេនា-ធំ
កងអនុសេនាតូច	កងអនុសេនា-តូច
កងអនុសេនាធំ	កងអនុសេនា-ធំ
កងអន្តរាគមន៍	កង-អន្តរាគមន៍
កង់ឌុប	កង់-ឌុប
កង់ទីន	កង់-ទី-ន
កង់យោង	កង់-យោង
កង់រវៃ	កង់-រវៃ
កង់សឺគួរ	កង់-សឺ-គួរ
កង្កែបកូប	កង្កែប-កូប
កង្កែបបោប	កង្កែប-បោប
កង្កែបប្រុយ	កង្កែប-ប្រុយ
កង្កែបអាចម៍គោ	កង្កែប-អាចម៍គោ
កង្កែបអាចម៍គោលោតខាំពស់វែក	កង្កែបអាចម៍គោ-លោត-ខាំ-ពស់វែក
កង្កែបអាចម៍គោហ៊ានលោតខាំពស់វែក	កង្កែបអាចម៍គោ-ហ៊ាន-លោត-ខាំ-ពស់វែក
កង្វារ	ក-ង្វារ
កង្វះខាត	កង្វះ-ខាត
កង្ហារអគ្គិសនី	កង្ហារ-អគ្គិសនី
កង្ហែន	កង្ហែ-ន
កច្ចជាតិ	ក-ច្ច-ជាតិ
កញ្ចក់ភ្នែក	កញ្ចក់-ភ្នែក
កញ្ចប់កញ្ចូវ	កញ្ចប់-កញ្ចូវ
កញ្ចប់មាត់	កញ្ចប់-មាត់
កញ្ចាញ់ចេក	កញ្ចាញ់-ចេក
កញ្ចាញ់ច្រាស	កញ្ចាញ់-ច្រាស
កញ្ចឹងក	កញ្ចឹង-ក
កញ្ឆក់កញ្ឆែង	កញ្ឆក់-កញ្ឆែង
កញ្ឆាញ	កញ្ឆា-ញ
កញ្ឆេង	កញ្ឆេ-ង
កញ្ឆែត	កញ្ឆែ-ត
កញ្ឆែវ	កញ្ឆែ-វ
កញ្ជាក់ស្លា	កញ្ជាក់-ស្លា
កញ្ជុសមាន់	កញ្ជុស-មាន់
កញ្ជើជំពោះ	កញ្ជើ-ជំពោះ
កញ្ជើបាយដាច	កញ្ជើ-បាយ-ដាច
កញ្ជ្រោកបោកបាច	កញ្ជ្រោកបោក-បាច
កញ្ញាកិត្តិយស	កញ្ញា-កិត្តិយស
កឋិនត្ថារកិច្ច	កឋិនត្ថារ-កិច្ច
កណសិលា	ក-ណ-សិលា
កណិការ	ក-ណិ-ការ
កណ្ដកសញ្ញា	កណ្ដក-សញ្ញា
កណ្ដាច់លែះ	កណ្ដាច់-លែះ
កណ្ដាញ់ព្រាយ	កណ្ដាញ់-ព្រាយ
កណ្ដាប់ចក្រវាល	កណ្ដាប់-ចក្រវាល
កណ្ដាប់ចង្អេរ	កណ្ដាប់-ចង្អេរ
កណ្ដាប់ដៃ	កណ្ដាប់-ដៃ
កណ្ដាប់ដៃដែក	កណ្ដាប់ដៃ-ដែក
កណ្ដាប់ស្រែង	កណ្ដាប់-ស្រែង
កណ្ដាលសភា	កណ្ដាល-សភា
កណ្ដាលស្ទឹង	កណ្ដាល-ស្ទឹង
កណ្ដាលអម្ពរ	កណ្ដាល-អម្ពរ
កណ្ដឹងគោ	កណ្ដឹង-គោ
កណ្ដឹងដំរី	កណ្ដឹង-ដំរី
កណ្ដឹមឆែប!	កណ្ដឹមឆែប-!
កណ្ដុរប្រែង	កណ្ដុរ-ប្រែង
កណ្ដុំឆែប!	កណ្ដុំឆែប-!
កណ្ដូបសេះ	កណ្ដូប-សេះ
កណ្ដៀខ្មូត	កណ្ដៀ-ខ្មូត
កណ្ដៀង	កណ្ដៀ-ង
កណ្ដៀត	កណ្ដៀ-ត
កណ្ដៀតក្អម	កណ្ដៀត-ក្អម
កណ្ដៀទៀ	កណ្ដៀ-ទៀ
កណ្ដៀន	កណ្ដៀ-ន
កណ្ដៀរ	កណ្ដៀ-រ
កណ្ដៀរកោរកណ្ដុរកាត់	កណ្ដៀរ-កោរ-កណ្ដុរ-កាត់
កណ្ដៀវ	កណ្ដៀ-វ
កណ្ដែងកណ្ដោច	កណ្ដែង-កណ្ដោច
កណ្ដោចកណ្ដែង	កណ្ដោច-កណ្ដែង
កណ្ដោលបាត	កណ្ដោល-បាត
កណ្ឋជៈ	កណ្ឋ-ជៈ
កណ្ណធារ	ក-ណ្ណ-ធារ
កណ្ណធារកិច្ច	កណ្ណធារ-កិច្ច
កតញ្ញុតាធម៌	កតញ្ញុតា-ធម៌
កតវេទិតា	កត-វេ-ទិ-តា
កតវេទិនី	កត-វេទិនី
កតវេទី	កត-វេទី
កតាវសាន	ក-តា-វ-សាន
កតិកាភេទ	កតិកា-ភេទ
កតិកាសញ្ញា	កតិកា-សញ្ញា
កតូបការៈ	ក-តូ-បការៈ
កត្តិក	ក-ត្តិ-ក
កថាខណ្ឌ	កថា-ខណ្ឌ
កថាបរិយោសាន	កថា-បរិយោសាន
កថាភាគ	កថា-ភាគ
កថាមគ្គ	កថា-មគ្គ
កថាមុខ	កថា-មុខ
កថាវត្ថុ	កថា-វត្ថុ
កថាវសាន	កថា-វ-សាន
កថាសល្លាប	កថា-សល្លាប
កនិដ្ឋភាគិនេយ្យ	កនិដ្ឋ-ភាគិនេយ្យ
កនិដ្ឋភាតា	កនិដ្ឋ-ភាតា
កន្តរ៉	កន្ត-រ៉
កន្តាញ	កន្តា-ញ
កន្តារ	កន្តា-រ
កន្តារទ្ធា	កន្តា-រទ្ធា
កន្តាវរ៉ាវ	កន្តា-វ-រ៉ាវ
កន្តិញកន្តុញ	កន្តិញ-កន្តុញ
កន្តុលឪ	កន្តុល-ឪ
