word	status	source	decision	note
កកកុះ	approved	reviewed	standard	no Chuon definition; legacy word
កកាប	approved	reviewed	standard	no Chuon definition; legacy word
កកិបកកុប	approved	reviewed	standard	no Chuon definition; legacy word
កកី	approved	reviewed	standard	no Chuon definition; legacy word
កកូន	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កកួរ	approved	reviewed	standard	no Chuon definition; legacy word
កកើត	approved	reviewed	standard	no Chuon definition; legacy word
កកែះ	approved	reviewed	variant	no Chuon definition; legacy word
កកោកកកាក	approved	reviewed	variant	no Chuon definition; legacy word
កក្រោក	approved	reviewed	standard	no Chuon definition; legacy word
កក្អៀកកក្អាយ	approved	reviewed	variant	no Chuon definition; legacy word
កខក់	approved	reviewed	standard	no Chuon definition; legacy word
កខិក	approved	reviewed	variant	no Chuon definition; legacy word
កខិប	approved	reviewed	standard	no Chuon definition; legacy word
កខែកកខោក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កខ្វើក	approved	reviewed	variant	no Chuon definition; legacy word
កងក្រវិល	approved	reviewed	variant	no Chuon definition; legacy word
កងមុខ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កងវរៈសេនាតូច	approved	reviewed	variant	no Chuon definition; legacy word
កង្កុច	approved	reviewed	standard	no Chuon definition; legacy word
កង្កៀន	approved	reviewed	standard	no Chuon definition; legacy word
កង្វក់	approved	reviewed	standard	no Chuon definition; legacy word
កង្វែល	approved	reviewed	standard	no Chuon definition; legacy word
កង្ហរ	approved	reviewed	standard	no Chuon definition; legacy word
កញ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញឆល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញ្ចង	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ចាញ់	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ចាញ់ច្រាស់	approved	reviewed	variant	no Chuon definition; legacy word
កញ្ចាត	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ចឹង	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ចុប	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ចុបកញ្ចូវ	approved	reviewed	variant	no Chuon definition; legacy word
កញ្ចោម	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ចំ	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ច្រក	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ច្រិប	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ច្រឹង	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ច្រឹប	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ឆក់កញ្ឆេង	approved	reviewed	variant	no Chuon definition; legacy word
កញ្ឆិក	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ឆូង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញ្ឆៀង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញ្ឆេ	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ឆេត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញ្ឆែ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញ្ឆោង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញ្ជក់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញ្ជរាធិបតី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញ្ជាប់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កញ្ជើរ	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ជេះ	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ជោ	approved	reviewed	standard	no Chuon definition; legacy word
កញ្ជ្រាំង	approved	reviewed	variant	no Chuon definition; legacy word
កញ្ជ្រិល	approved	reviewed	variant	no Chuon definition; legacy word
កញ្ជ្រីវ	approved	reviewed	variant	no Chuon definition; legacy word
កញ្ជ្រៅ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កណ្ដក់សញ្ញា	approved	reviewed	variant	no matching RAC definition; legacy word
កណ្ដាក់	approved	reviewed	standard	no Chuon definition; legacy word
កណ្ដឹប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កណ្ដែក	approved	reviewed	standard	no Chuon definition; legacy word
កណ្ដែង	approved	reviewed	standard	no Chuon definition; legacy word
កណ្ដោក	approved	reviewed	standard	no Chuon definition; legacy word
កត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កតញ្ញូតា	approved	reviewed	variant	no Chuon definition; legacy word
កតញ្ញូតាធម៌	approved	reviewed	variant	no Chuon definition; legacy word
កតលិករ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កតវសាន	approved	reviewed	variant	no Chuon definition; legacy word
កតឹប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កត់ទុក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កនិដ្ឋ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ដាញ់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្តង	approved	reviewed	standard	no Chuon definition; legacy word
កន្តាញ់	approved	reviewed	variant	no Chuon definition; legacy word
កន្តូប	approved	reviewed	standard	no Chuon definition; legacy word
កន្តឿ	approved	reviewed	standard	no Chuon definition; legacy word
កន្តៅរ៉ៅ	approved	reviewed	standard	no Chuon definition; legacy word
កន្ត្រាង	approved	reviewed	standard	no Chuon definition; legacy word
កន្ត្រឺង	approved	reviewed	standard	no Chuon definition; legacy word
កន្ត្រឺងប្រឹង	approved	reviewed	standard	no Chuon definition; legacy word
កន្ត្រុំ	approved	reviewed	standard	no Chuon definition; legacy word
កន្ត្រើង	approved	reviewed	standard	no Chuon definition; legacy word
កន្ត្រែ	approved	reviewed	standard	no Chuon definition; legacy word
កន្ត្រោក	approved	reviewed	standard	no Chuon definition; legacy word
កន្ត្រំ	approved	reviewed	standard	no Chuon definition; legacy word
កន្ថោក	approved	reviewed	standard	no Chuon definition; legacy word
កន្ទប់	approved	reviewed	standard	no Chuon definition; legacy word
កន្ទល់	approved	reviewed	variant	no Chuon definition; legacy word
កន្ទាចអាល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ទាស់	approved	reviewed	standard	no Chuon definition; legacy word
កន្ទាំង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ទិចអាល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ទុយបារី	approved	reviewed	standard	no Chuon definition; legacy word
កន្ទៀត	approved	reviewed	standard	no Chuon definition; legacy word
កន្ទេលផៃង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ទែល	approved	reviewed	standard	no Chuon definition; legacy word
កន្ទំរុយ	approved	reviewed	variant	no Chuon definition; legacy word
កន្ទ្រាក់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ទ្រាំង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ទ្រិប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ទ្រឺស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ទ្រូល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ទ្រោប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ធីងកន្ធាំង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ធែង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្ធំ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្លេញ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កន្លោត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កបិត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កប៉ាល់ទឹក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កពិផៅ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កភូមិ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កមាសវៈ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្បាំង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្មការនី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្មវចាចារ្យ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្មវចៈ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រតែ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រើប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រេប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រែង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រោល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្លៅចិត្ត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ករណនិយម	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ករណីនេះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ករីស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កលា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កលាប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កអាវ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាកអំំពៅ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាកាប	approved	reviewed	standard	no Chuon definition; legacy word
កាកែល	approved	reviewed	standard	no Chuon definition; legacy word
កាចកោង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាចូន	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាចៅ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាច់ក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាច់កែ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាច់កៃ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាឆាយ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
